mã cổ phiếu,năm báo cáo,kỳ báo cáo,lợi nhuận/lỗ trước thuế,khấu hao và phân bổ,dự phòng rủi ro tín dụng,lãi/lỗ tỷ giá chưa thực hiện,lãi/lỗ từ thanh lý tài sản cố định,lãi/lỗ từ hoạt động đầu tư,chi phí lãi vay,lợi nhuận hoạt động trước thay đổi vốn lưu động,tăng/giảm khoản phải thu,tăng/giảm hàng tồn kho,tăng/giảm khoản phải trả,tăng/giảm chi phí trả trước,lãi vay đã trả,thuế TNDN đã nộp,các khoản thu khác từ hoạt động kinh doanh,các khoản chi khác từ hoạt động kinh doanh,luồng tiền thuần từ hoạt động kinh doanh,chi mua tài sản cố định,thu từ thanh lý tài sản cố định,"cho vay, mua công cụ nợ","thu hồi khoản cho vay, bán công cụ nợ",đầu tư vào các đơn vị khác,thu từ thoái vốn ở các đơn vị khác,lãi từ cổ tức,luồng tiền thuần từ hoạt động đầu tư,tăng vốn điều lệ,thu từ vay nợ,trả nợ gốc vay,thanh toán gốc thuê tài chính,chi trả cổ tức,luồng tiền thuần từ hoạt động tài chính,tăng/giảm thuần tiền và tương đương tiền,tiền và tương đương tiền đầu kỳ,điều chỉnh chênh lệch tỷ giá,tiền và tương đương tiền cuối kỳ,lợi nhuận từ các hoạt động khác,luồng tiền từ hoạt động kinh doanh trước thuế TNDN,chi từ quỹ dự phòng,chi mua lại cổ phiếu,thu nhập từ lãi và cổ tức,tăng/giảm khoản phải thu (dự phòng),tăng/giảm khoản phải trả (dự phòng),cổ tức đã nhận
AAA,2022,3,104879486254,77044825156,-15017803972,-2402271095,0,-24341529139,41938040098,182100747302,383839543987,-231234709781,-365320565207,14730217293,-30350467860,-1798257475,0,-8552348825,-56585840566,-6390393418,461976155,-194394250000,39813550000,-91470298950,77000000000,14161103970,-160818312243,669755200000,1955219078912,-2082615105317,0,0,542359173595,324955020786,1020615568519,7680777589,1353251366894,,,,,,,,
AAA,2022,2,114508477712,77466757647,15017803972,2402271095,0,-41731937957,37562536383,205225908852,176401068731,-871308239634,234240687966,19344545071,-46554809787,-23029627269,0,-4581686339,-310262152409,-60916344516,4288215488,-113708600000,94273800000,-328965788845,0,30094233813,-374934484060,184465690000,2211111508981,-2254117427321,0,-152250000,141307521660,-543889114809,1549911273413,14593409915,1020615568519,,,,,,,,
AAA,2022,1,122916373731,77740276559,0,0,0,-28200497873,41344677305,213800829722,-440106633757,-44812029961,349982802317,19540118710,-29521377130,-35822639344,0,-13913833989,19147236568,-70099552131,958181818,-228297600000,73049588400,-455798729452,400000000,12001406524,-667786704841,0,2045526520535,-1831645656136,0,0,213880864399,-434758603874,1988170740182,-3500862895,1549911273413,,,,,,,,
AAA,2021,4,96809432071,81044282228,-1143794525,5222727270,0,-54268578590,40381953881,168046022335,699714129641,56503768864,-272545129225,-28958205206,-37925964104,-69329100802,0,-10090061576,505415459927,-67544808337,6148859433,-306563393250,601792164250,-215370152337,94080000000,68286037257,180828707016,-66000000,2377841858974,-2364989976189,0,-148350075501,-135564192716,550679974227,1439605995924,-3115257469,1987170712682,,,,,,,,
AAA,2021,3,93539946201,78753243347,-4140362635,-3398132424,0,-27334532159,34859183964,172279346294,-408163859307,108838407355,238726795067,24202739590,-26536036929,-8221850904,0,-2804615540,98320925626,-388883567943,241818182,-682618785150,197696457750,0,176625000000,19516676853,-677422400308,0,2237713620857,-2430000886314,0,-100000000,-192387265457,-771488740139,2214209755238,-3115019175,1439605995924,,,,,,,,
AAA,2021,2,117230499400,79633010142,1908291760,3398132424,0,-15088533770,46419458220,233500858176,204896918583,139241195072,-333463923603,-6815378180,-60756317491,-2598789767,0,-29759909367,144244653423,-198280466896,60000000,290445357631,638090743159,-125855923243,7125000000,24637984105,636222694756,1082328154488,1997941393941,-2612976053148,0,-95860000,467197635281,1247664983460,967769374300,-1224602522,2214209755238,,,,,,,,
AAA,2021,1,106055496044,76395566067,-870072363,0,0,-37329840142,39329555287,183580704893,-197643910521,-217704055511,79793533996,-10977933273,-25084122847,-11786630487,0,-1973501250,-201795915000,-31488705821,0,-941573057631,737771615402,-59784000000,0,29457899935,-265616248115,63450000000,2150369385801,-1741869450986,0,0,471949934815,4537771700,963717122052,-485519452,967769374300,,,,,,,,
AAA,2020,4,69002760213,76425251008,11008530063,530341283,0,-43643100864,49315034270,162638815973,-211087050521,-6510052353,255465748250,5066015927,-56903309992,-16265950043,0,-2082938835,129321278406,-174076282847,1495454546,206669053545,571360938636,-136462696800,1900000000,37552154916,508438621996,0,1823295284367,-1732861991513,0,-3100000000,87333292854,725093193256,238982685166,-358756370,963717122052,,,,,,,,
AAA,2020,3,100021813046,76145933985,-946799679,-350486229,0,-33068733758,50296867542,192098594907,40684916374,94137746461,-159945546613,-22898694054,-40337325036,-10464264917,0,-2123210327,91152216795,-18947631033,1000000000,-325565980140,659096009328,-493700234696,38518235972,19450883068,-120148717501,539951500000,1633609487500,-2068386074474,0,-105571913000,-396999974,-29393500680,267894557509,481628337,238982685166,,,,,,,,
AAA,2020,2,76012916530,67430455401,2555047679,350486229,0,-42812676653,54811943210,158348172396,132478815857,64831115112,102704845314,8207226415,-57649976417,-138893181,0,-9987935348,398793370148,-64265638513,1363636364,-869368623314,636105707000,-129451214638,72274544028,27598558272,-325743030801,-20010000000,1586411116803,-1658900987142,0,0,-92499870339,-19449530992,288449896598,-1105808097,267894557509,,,,,,,,
AAA,2020,1,73910543742,67127434887,-352469704,0,0,-27310075329,51757987726,165133421322,-35575926707,104840148104,-204702380933,-1109602657,-44447435615,-22725854278,0,-28810536379,-7728147143,-14144030419,253636364,-773835700000,817301753425,-87735438000,0,51323986320,-6835792310,30010000000,1886231270335,-1905098832145,0,0,11142438190,-3421501263,291674680985,196716876,288449896598,,,,,,,,
AAA,2019,4,77865056098,67473990656,352469704,7383267849,0,-35985144755,51244063173,168333702725,605614898966,-233861698742,260024922977,-4738070438,-56018587856,-29090882929,0,-3043900446,647550364257,-83049119926,6272727273,-644127608000,220854948463,-14413900000,1000000,24751762842,-489710189348,0,1726712528612,-1758168679453,0,-8575000000,-40031150841,117809024068,232025439569,-138782652,349695680985,,,,,,,,
AAA,2019,3,85700801568,66128662611,-1099770379,-8324404521,0,-26120882159,54341479564,170625886684,332177456441,135163866519,-270510696994,-857184281,-50609351426,-21663107522,0,-2784783612,291542085809,-58693328017,424373636,-219886569425,420535246500,-3000000000,0,18591471218,157971193912,0,1887752937909,-2290153808371,0,-85571913000,-487972783462,-38459503741,271392032211,-907088901,232025439569,,,,,,,,
AAA,2019,2,161115814293,62646642950,1099770379,8324404521,0,-33597700799,78838332261,278427263605,-160789159433,-451643010620,562918347171,-18951026433,-73029078537,-6522990516,-12000000000,-34454226221,83956119016,-249525769880,1449703273,-751586664767,396227077080,75200000000,21000000000,-5771457421,-513007111715,0,2237245357301,-2018879546722,0,-780175000,217585635579,-211465357120,482425462169,431927162,271392032211,,,,,,,,
AAA,2019,1,272739642392,62431489567,-2750517531,0,0,-46021055923,45933094039,332332652544,-854672014713,150699254480,207018095018,-4094752264,-48113857560,-12493164128,12000000000,-1082400892,-218406187515,-47713200346,116225455,-700488835038,506282986089,-140772780000,68039042569,42150123815,-272386437456,0,2151984729201,-1821851582530,0,-2404825000,327728321671,-163064303300,645474843425,14922044,482425462169,,,,,,,,
AAA,2018,4,64219942475,62414701179,2750517531,1909941812,0,-15122788195,17229071634,133401386436,7922208869,-58701115966,44662877691,2724152063,-14830657856,-10152382800,18700000000,-991445110,122735023327,-500226280664,0,-461549836986,76895216314,-10051750800,5050000000,8204123334,-881678528802,4500000000,2500687219443,-1755715121949,0,235750000,749707847494,-9235657981,655415995968,-705494562,645474843425,,,,,,,,
AAA,2018,3,57414065008,61654295128,0,-8335133216,0,-11842458468,39751214298,138641982750,-20721407937,94177541097,-55717897089,-9138481622,-39780332254,-8807755207,12962982835,-2578797892,109037834681,-217362813874,0,-127650000000,141597293500,-82291252000,0,7587046586,-278119725788,72006000000,1767384111827,-1625039129185,0,-810000000,213540982642,44459091535,610736511767,220392666,655415995968,,,,,,,,
AAA,2018,2,59661144613,60623677437,0,8335133216,0,-9108417254,45754572288,165266110300,256525862905,-173510576323,-55113671580,-7300165710,-39257716213,-12836251613,9937017165,-7138959628,136571649303,-930961978315,0,-511762225990,2997800000,4033992854,-164331450,3093620191,-1432763122710,1339041802000,1868785924258,-1718970606442,0,-9987655000,1478869464816,182677991409,427747817583,310702775,610736511767,,,,,,,,
AAA,2018,1,72689171088,60258707137,0,0,0,-4124823841,23245616132,152068670516,-143352472092,-191330178985,-75495082180,-15329744519,-30226842276,-14346347901,28400000000,-40191731930,-329803729367,-49967380527,0,-126000000000,122216123219,0,13440050000,4644923614,-35666283694,2694000000,1723588374444,-1317072210833,0,-125569969500,283640194111,-81829818950,509577636533,0,427747817583,,,,,,,,
AAA,2017,4,91086144061,48234228099,0,-183328927,0,41594661839,28945734767,209677439839,-342069322240,-7861861559,34712923129,-9953611375,-25090122154,-13802035878,35216605870,-15725281,-119185709649,-128505715261,0,-199729000000,183570000000,0,0,7575603866,-137089111395,327025000000,1481044408325,-1281172874151,0,-837919500,526058614674,269783793630,239827520161,-33677258,509577636533,,,,,,,,
AAA,2017,3,80303837679,43102366771,0,0,0,-8026956330,17065679630,132444927750,-116208426877,-86643433955,-62270960780,-2557567424,-17065679630,-18414318518,33124776493,-1087905675,-138678588616,-164880438433,0,0,0,0,0,826956330,-164053482103,25000000000,973043488743,-628751685485,0,-42037090250,327254713008,24522642289,215304877872,0,239827520161,,,,,,,,
AAA,2017,2,67051702454,39700777178,0,2798609370,0,-32232107384,17746808506,95065790124,-96664232187,-39007067365,226324642900,468202880,-17746808506,-18350967320,29659442150,-6506156130,173242846546,-196970635597,486363637,-150000000000,0,0,52920000000,1350612752,-292213659208,24727500000,848563501712,-962099737104,0,-56907588000,-145716323392,-264687136054,480029324770,-37310844,215304877872,,,,,,,,
AAA,2017,1,89612623081,36991119030,0,0,0,-38321974493,16833826448,105115594066,-16110461802,47421919543,-163698790751,1140746472,-16833826448,-6890891702,59022912319,-5209354020,3957847677,-205602971050,0,0,0,0,97627322000,2760017881,-105215631169,30000000000,807341295662,-662730996554,0,0,174610299108,73352515616,406676809154,0,480029324770,,,,,,,,
AAA,2016,4,48337017738,24406600294,0,10476192968,0,-3196243270,7265829226,87289396956,97517393,-180188841196,-32389730230,-6282701489,-7265829226,-8318791223,31804046603,-97630968,-115352563380,-247542557368,9635671076,0,0,0,0,8537700574,-229369185718,58342300000,1112709372241,-583605837501,0,-51752630500,535693204240,190971455142,215527556511,177797501,406676809154,,,,,,,,
AAA,2016,3,47530518554,24193223431,0,0,0,858486776,6637193744,79219422505,-68061157947,-33251093201,48363678574,-4658940787,-6637193744,-4794848948,20157056168,-1104380112,29232542508,-274888345422,19341823115,8082461475,-11031532708,0,0,-4948988168,-263444581708,0,663902188877,-425815213305,0,0,238086975572,3874936372,211652620139,0,215527556511,,,,,,,,
AAA,2016,2,38704996562,22942799077,536604972,332629886,0,-7337100769,7087632513,62267562241,11335547757,-44495546043,13665498569,-5182389308,-7087632513,-3052002844,22472456863,6188967483,56112462205,-244929468507,17542443392,-8082461475,11031532708,0,0,7077904395,-217360049487,25905200000,503197361642,-374325744154,0,-34609811600,120167005888,-41080581394,252813635649,-80434116,211652620139,,,,,,,,
AAA,2016,1,32024249185,21407705971,0,0,0,-2118309330,6293816656,57607462482,-136978640785,21530754153,181982394033,131469132,-6293816656,-6348646745,8155684707,-9609547428,110177112893,-310081588013,7101163310,0,0,0,0,1465366185,-301515058518,0,318714416805,-344624553651,0,0,-25910136846,-217248082471,470061718120,0,252813635649,,,,,,,,
AAA,2015,4,27232902909,21306829566,0,-189833370,0,-1052628129,6473520309,53770791285,129837111988,-35460533306,-223712827741,-436108509,-6473520309,-1707214116,21989064018,-4482297860,-66675534550,-30611216705,0,0,10000000000,0,0,1052628129,-19558588576,0,658674639957,-327365127551,0,-1935000000,329374512406,243140389280,227200512276,-279183436,470061718120,,,,,,,,
AAA,2015,3,22683233360,20877015225,0,0,0,-2219583807,6541008895,47881673673,-82375881930,25245905747,40024064636,-2043560671,-6541008895,-259395891,26375711889,-1141730065,47165778493,-74443794430,4184090909,0,0,0,0,5931466098,-64328237423,0,426250399473,-434024357794,0,0,-7773958321,-24936417251,252136929527,0,227200512276,,,,,,,,
AAA,2015,2,6309730982,21746759748,0,1401049891,0,-5361324634,5519155453,29615371440,-45522498687,-49759391140,66365168309,-1786033939,-5519155453,-1057399238,0,6380358430,-1283580278,-75847921997,1227272727,0,20000000000,0,0,951013156,-53669636114,0,403975975520,-314184479925,0,0,89791495595,34838279203,216882657990,415992334,252136929527,,,,,,,,
AAA,2015,1,-5610944697,19427680554,0,0,0,-2445384686,5532126701,16903477872,-120587991507,-16690448962,62649206317,-7001994171,-5532126701,-270053548,25433327034,-7459137150,-52555740816,-109496918286,250000000,0,0,0,0,2434196724,-106812721562,0,369959729943,-330516325642,0,0,39443404301,-119925058077,336807716067,0,216882657990,,,,,,,,
AAA,2014,4,251528525,23707480254,162105381,796521700,0,765316603,6059642453,31742594916,6386489466,3804680204,28701765414,-1492867131,-6077542342,-3968547843,6842469706,-142793700,65796248690,-28039181348,180080590,-30000000000,1500000000,0,0,1179534543,-55179566215,217798900000,312330063494,-308173617836,0,-15031208,221940314450,232556996925,104024469754,226249388,336807716067,,,,,,,,
AAA,2014,3,20249000210,18200647536,0,0,0,-5073433767,5681141129,39057355108,-39371795640,38421224159,-25213442699,610944750,-5663241240,-3022791878,13378134850,-1384010689,16812376721,-26916143086,72029545,0,0,0,0,240523767,-26603589774,0,396674358284,-320901323864,0,-19746600000,56026434420,46235221367,57789248387,0,104024469754,,,,,,,,
AAA,2014,2,18764418346,9677758397,0,2190012793,0,-154467024,2416397337,32894119849,5996587232,-812436049,16315702011,-1163977012,-5220699718,-3123868856,23990000,-1271696611,43637720846,-38083419988,2785496364,0,0,0,0,4987377024,-30310546600,0,300117125179,-306214088459,0,0,-6096963280,7230210966,50406413396,152624025,57789248387,,,,,,,,
AAA,2014,1,17935357296,12614176572,0,0,0,-299224210,3030038742,33280348400,-23819543040,21090440843,-57795446682,503953460,-5725300806,-4076130445,14435812741,-4840945655,-26946811184,-16252042555,486664091,0,0,0,0,299224210,-15466154254,0,308612799948,-346060144876,0,0,-37447344928,-79860310366,130266723762,0,50406413396,,,,,,,,
AAA,2013,4,16779278447,12939945670,0,-2131605775,2273454179,-214971180,2826480156,32472581497,-5013347648,-56048701575,12170909378,-1761183747,-5122911145,-3685164895,6000000,-557695200,-27539513335,-23528164811,0,0,0,-698138150,0,82827231,-24143475730,0,348297262605,-204365258122,0,-2000000,143930004483,92247015418,38081355707,-61647363,130266723762,,,,,,,,
AAA,2013,3,16840722597,12412119053,0,0,0,-74482474,4261851028,33440210204,47316916811,33091872822,-18879598379,-1406765319,-6188551713,-2886216758,11104496845,-1280895000,94311469513,-52159813961,0,0,0,0,29100000000,-67123577,-23126937538,0,229005076831,-288218450561,0,-19774175000,-78987548730,-7803016755,45884372462,0,38081355707,,,,,,,,
AAA,2013,2,16229996601,11387760207,0,2131605775,0,-303113766,4796952169,34243200986,-66794431944,-22187844317,84604595037,-1077562928,-4796952169,-5092530101,5600000,-3008715854,15895358710,-94040258488,0,0,0,-33151197105,0,1245895766,-125945559827,0,257671207683,-198448003709,0,0,59223203974,-50826997143,96503117149,208252456,45884372462,,,,,,,,
AAA,2013,1,21236787206,12006383839,0,0,0,-2002574977,5222906057,36463502125,-16561848849,40696388461,-38792510462,-1186847821,-5222906057,-5489617221,27080000,-9076110611,857129565,-37428106400,0,0,0,0,0,2002574977,-35425531423,0,242370430736,-214714765209,0,-5192000,27650473527,-6917928331,103421045480,0,96503117149,,,,,,,,
ACB,2025,1,,,,,,,,2203592000000,,,,,,,,,-4309694000000,-180662000000,869000000,,,0,0,2856000000,-176937000000,0,,,,0,0,-4486631000000,139824608000000,-65367000000,135272610000000,118371000000,-4295847000000,-13847000000,,,,,
ACB,2024,4,,,,,,,,3704555000000,,,,,,,,,37519564000000,-418950000000,67294000000,,,-3507000000,3507000000,13162000000,-338494000000,0,,,,0,0,37181070000000,102581485000000,62053000000,139824608000000,-167523000000,37520087000000,-523000000,,,,,
ACB,2024,3,,,,,,,,5587994000000,,,,,,,,,-16528903000000,-118764000000,775000000,,,3507000000,0,10063000000,-104419000000,0,,,,0,0,-16633322000000,119023619000000,191188000000,102581485000000,10399000000,-16528423000000,-480000000,,,,,
ACB,2024,2,,,,,,,,6515731000000,,,,,,,,,-3150040000000,-347301000000,79642000000,,,0,0,6746000000,-260913000000,0,,,,-3884051000000,-3884051000000,-7295004000000,126501216000000,-182593000000,119023619000000,106418000000,-3149944000000,-96000000,,,,,
ACB,2024,1,,,,,,,,901606000000,,,,,,,,,-9470390000000,-34725000000,154000000,,,0,0,5087000000,-29484000000,0,,,,0,0,-9499874000000,136071738000000,-70648000000,126501216000000,-113383000000,-9470240000000,-150000000,,,,,
ACB,2023,4,,,,,,,,4366643000000,,,,,,,,,23999995000000,-778517000000,1571000000,,,0,0,5840000000,-771106000000,0,,,,0,0,23228889000000,112718456000000,124393000000,136071738000000,-123976000000,24000778000000,-783000000,,,,,
ACB,2023,3,,,,,,,,5957868000000,,,,,,,,,5154124000000,-144086000000,467000000,,,0,0,36910000000,-106709000000,0,,,,0,0,5047415000000,107750512000000,-79471000000,112718456000000,48709000000,5154308000000,-184000000,,,,,
ACB,2023,2,,,,,,,,5441896000000,,,,,,,,,14418612000000,-213810000000,1139000000,,,0,0,1154000000,-211517000000,0,,,,-3377435000000,-3377435000000,10829660000000,96922247000000,-1395000000,107750512000000,23798000000,14418845000000,-233000000,,,,,
ACB,2023,1,,,,,,,,3655575000000,,,,,,,,,-6426636000000,-149733000000,861000000,,,0,0,31051000000,-117821000000,0,,,,0,0,-6544457000000,103510231000000,-43527000000,96922247000000,33126000000,-6426336000000,-300000000,,,,,
ACB,2022,4,,,,,,,,3998583000000,,,,,,,,,30966897000000,-207854000000,1793000000,,,0,5951000000,15522000000,-184588000000,0,,,,0,0,30782309000000,72894066000000,-166147000000,103510228000000,32474000000,31167553000000,-200656000000,,,,,
ACB,2022,3,,,,,,,,5104535000000,,,,,,,,,2913112000000,-177344000000,1027000000,,,0,0,13071000000,-77882000000,0,,,,0,0,2835230000000,69977128000000,81708000000,72894066000000,37497000000,2913363000000,-251000000,,,,,
ACB,2022,2,,,,,,,,3717164000000,,,,,,,,,-4100991000000,-42821000000,1018000000,,,0,500000000,28499000000,-12804000000,0,,,,0,0,-4113795000000,74021373000000,69550000000,69977128000000,48809000000,-4100834000000,-157000000,,,,,
ACB,2022,1,,,,,,,,3593628000000,,,,,,,,,-8504479000000,-83494000000,903000000,,,-10520000000,0,2507000000,-90604000000,0,,,,0,0,-8595083000000,82601567000000,14889000000,74021373000000,33269000000,-8504080000000,-399000000,,,,,
ACB,2021,4,,,,,,,,2051001000000,,,,,,,,,23630380000000,-263261000000,613000000,,,0,0,5724000000,-256924000000,0,,,,0,-2884000000000,20489456000000,62123133000000,-11022000000,82601567000000,16989000000,23630638000000,-258000000,,,,,
ACB,2021,3,,,,,,,,3356786000000,,,,,,,,,12722016000000,-50349000000,0,,,0,0,9939000000,-40410000000,0,,,,0,0,12681606000000,49440951000000,576000000,62123133000000,-9741000000,12722291000000,-275000000,,,,,
ACB,2021,2,,,,,,,,4062063000000,,,,,,,,,2310032000000,-229438000000,1886000000,,,0,0,2822000000,-224730000000,0,,,,0,0,2085302000000,47342974000000,12675000000,49440951000000,-93442000000,2310412000000,-380000000,,,,,
ACB,2021,1,,,,,,,,2856723000000,,,,,,,,,1263471000000,-93052000000,766000000,,,0,0,3494000000,59661000000,0,,,,0,0,1323132000000,46022071000000,-2229000000,47342974000000,-8770000000,1264041000000,-570000000,,,,,
ACB,2020,4,,,,,,,,1105400000000,,,,,,,,,9308715000000,-217839000000,711000000,,,0,0,11490000000,-198918000000,0,,,,0,-170000000000,8939797000000,37102622000000,-20348000000,46022071000000,1450000000,9309345000000,-630000000,,,,,
ACB,2020,3,,,,,,,,2222122000000,,,,,,,,,-6406591000000,-54749000000,1129000000,,,0,0,96000000,-53524000000,0,,,,0,0,-6460115000000,43550786000000,11951000000,37102622000000,51016000000,-6406401000000,-190000000,,,,,
ACB,2020,2,,,,,,,,2831238000000,,,,,,,,,3988026000000,-50451000000,526000000,,,0,0,5551000000,-44374000000,0,,,,0,-600000000,3943052000000,39609309000000,-1575000000,43550786000000,982000000,3988141000000,-115000000,,,,,
ACB,2020,1,,,,,,,,3529624000000,,,,,,,,,3989111000000,-100093000000,970000000,,,0,0,436000000,-98687000000,0,,,,0,30000000000,3920424000000,35678913000000,9972000000,39609309000000,14539000000,3989332000000,-221000000,,,,,
ACB,2019,4,,,,,,,,966954000000,,,,,,,,,3798672000000,-146777000000,16843000000,,,0,54000000000,0,-215273000000,0,,,,0,1033523000000,4616922000000,31060557000000,1434000000,35678913000000,31591000000,3799366000000,-694000000,,,,,
ACB,2019,3,,,,,,,,1989071000000,,,,,,,,,-4763981000000,-114859000000,3985000000,,,0,0,16957000000,-93917000000,0,,,,0,0,-4857898000000,35937063000000,-18608000000,31060557000000,12778000000,-4763817000000,-164000000,,,,,
ACB,2019,2,,,,,,,,2380815000000,,,,,,,,,-292110000000,-134877000000,1214000000,,,0,0,9370000000,-124293000000,0,,,,0,0,-416403000000,36335949000000,17517000000,35937063000000,13166000000,-291835000000,-275000000,,,,,
ACB,2019,1,,,,,,,,2371137000000,,,,,,,,,7059907000000,-126334000000,93000000,,,0,4100000000,2195000000,-119946000000,0,,,,0,0,6939961000000,29396331000000,-343000000,36335949000000,8803000000,7060100000000,-193000000,,,,,
ACB,2018,4,,,,,,,,1258733000000,,,,,,,,,416738000000,-137038000000,855000000,,,0,24000000000,1605000000,-134789000000,0,,,,0,2167000000000,2448949000000,26813502000000,133880000000,29396331000000,6591000000,417282000000,-544000000,,,,,
ACB,2018,3,,,,,,,,1431546000000,,,,,,,,,2911281000000,-97084000000,177000000,,,0,10000000000,11381000000,-61486000000,0,,,,0,0,2849795000000,24073193000000,-109486000000,26813502000000,-156266000000,2912492000000,-1211000000,,,,,
